op_name                                    inp_size   kernel_size   in channels  out channels  params(MBytes)   mults(M)    adds(M)     MFLOPS
SNB18_se0_conv_excitation_fwd                     1             1            80           320           0.052      0.026      0.026      0.051
SNB18_se0_hardsigmoid0__plusscalar0               1            -1           320           320           0.000      0.000      0.000      0.000
SNB18_se0_hardsigmoid0__clip                      1            -1           320           320           0.000      0.000      0.000      0.000
SNB18_se0_hardsigmoid0__divscalar0                1            -1           320           320           0.000      0.000      0.000      0.000
SNB19_conv0_fwd                                   7             1           320           256           0.164      4.014      4.002      8.016
SNB19_hardswish0__plusscalar0                     7            -1           256           256           0.000      0.000      0.013      0.013
SNB19_hardswish0__clip                            7            -1           256           256           0.000      0.013      0.000      0.013
SNB19_hardswish0__divscalar0                      7            -1           256           256           0.000      0.013      0.000      0.013
SNB19_hardswish0__mul0                            7            -1           256           256           0.000      0.013      0.000      0.013
SNB19_conv1_fwd                                   7             7           256             1           0.025      0.615      0.602      1.217
SNB19_conv2_fwd                                   7             1           256           320           0.164      4.014      3.998      8.012
SNB19_hardswish1__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB19_hardswish1__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB19_hardswish1__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB19_hardswish1__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB19_se0_pool0_fwd                               7            -1           320             1           0.000      0.000      0.015      0.016
SNB19_se0_conv_squeeze_fwd                        1             1           320            80           0.051      0.026      0.026      0.051
SNB19_se0_relu0_fwd                               1            -1            80            80           0.000      0.000      0.000      0.000
SNB19_se0_conv_excitation_fwd                     1             1            80           320           0.052      0.026      0.026      0.051
SNB19_se0_hardsigmoid0__plusscalar0               1            -1           320           320           0.000      0.000      0.000      0.000
SNB19_se0_hardsigmoid0__clip                      1            -1           320           320           0.000      0.000      0.000      0.000
SNB19_se0_hardsigmoid0__divscalar0                1            -1           320           320           0.000      0.000      0.000      0.000
pool0_fwd                                         7            -1           640             1           0.000      0.001      0.031      0.031
conv_fc_fwd                                       1             1           640          1024           1.311      0.655      0.654      1.310
hardswish1__plusscalar0                           1            -1          1024          1024           0.000      0.000      0.001      0.001
hardswish1__clip                                  1            -1          1024          1024           0.000      0.001      0.000      0.001
hardswish1__divscalar0                            1            -1          1024          1024           0.000      0.001      0.000      0.001
hardswish1__mul0                                  1            -1          1024          1024           0.000      0.001      0.000      0.001
                                                  1             1          1024          1000           2.050      1.024      1.024      2.048
total                                                                                                   7.437    303.296    294.189    597.485
